Date;Resting HR;High
28 Dec;48 bpm;88 bpm
27 Dec;49 bpm;99 bpm
26 Dec;51 bpm;103 bpm
25 Dec;48 bpm;111 bpm
24 Dec;50 bpm;105 bpm
23 Dec;47 bpm;141 bpm
22 Dec;51 bpm;97 bpm
21 Dec;53 bpm;114 bpm
20 Dec;54 bpm;112 bpm
19 Dec;52 bpm;107 bpm
18 Dec;53 bpm;178 bpm
17 Dec;52 bpm;167 bpm
16 Dec;46 bpm;109 bpm
15 Dec;50 bpm;97 bpm
14 Dec;51 bpm;99 bpm
13 Dec;51 bpm;131 bpm
12 Dec;47 bpm;153 bpm
11 Dec;47 bpm;96 bpm
10 Dec;46 bpm;104 bpm
9 Dec;49 bpm;98 bpm
8 Dec;48 bpm;142 bpm
7 Dec;51 bpm;155 bpm
6 Dec;45 bpm;105 bpm
5 Dec;46 bpm;98 bpm
4 Dec;44 bpm;99 bpm
3 Dec;50 bpm;133 bpm
2 Dec;48 bpm;126 bpm
1 Dec;47 bpm;137 bpm
