Date;Avg;Rest;Low;Medium Stress;High Stress
27 Dec;29;12h 1min;5h 39min;2h 27min;25min
26 Dec;31;9h 59min;8h 0min;2h 15min;22min
25 Dec;25;13h 9min;6h 8min;50min;8min
24 Dec;29;11h 42min;5h 46min;1h 47min;28min
23 Dec;27;11h 43min;4h 19min;1h 46min;40min
22 Dec;24;14h 9min;4h 25min;1h 4min;5min
21 Dec;33;7h 51min;8h 33min;2h 23min;30min
20 Dec;33;8h 21min;8h 15min;2h 26min;29min
19 Dec;36;6h 51min;8h 58min;3h 27min;40min
18 Dec;39;4h 56min;8h 30min;4h 12min;45min
17 Dec;36;7h 12min;5h 49min;2h 36min;57min
16 Dec;39;7h 50min;5h 10min;5h 33min;1h 23min
15 Dec;31;10h 29min;6h 44min;2h 58min;39min
14 Dec;35;7h 0min;10h 11min;2h 46min;30min
13 Dec;41;3h 43min;10h 1min;4h 30min;48min
12 Dec;35;7h 55min;5h 59min;3h 2min;1h 5min
11 Dec;23;13h 38min;4h 16min;54min;18min
10 Dec;37;5h 20min;8h 34min;3h 9min;52min
9 Dec;35;8h 28min;6h 9min;4h 7min;53min
8 Dec;25;13h 16min;3h 40min;1h 24min;25min
7 Dec;35;6h 22min;9h 36min;3h 8min;25min
6 Dec;28;10h 10min;5h 9min;2h 15min;40min
5 Dec;22;14h 41min;2h 54min;1h 4min;21min
4 Dec;23;16h 30min;4h 15min;1h 37min;11min
3 Dec;29;7h 49min;3h 55min;1h 35min;27min
2 Dec;34;8h 10min;5h 55min;2h 27min;1h 11min
1 Dec;29;8h 52min;4h 19min;2h 6min;22min
